,title,manufacturer,retailer,code,link,operation,date_ops
98,Bombilla LED vela E14 6W,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A22411872-bombilla-led-vela-e14-6w/,RPI Re-added to Retailer,07-11-2022 12:20
99,"Bombilla LED Regulable E27 7,5 W 1055 lm 2700 K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A22411881-bombilla-led-regulable-e27-75-w-1055-lm-2700-k/,RPI Re-added to Retailer,07-11-2022 12:20
100,"Bombilla LED GU10 4,6W",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A22411885-bombilla-led-gu10-46w/,RPI Re-added to Retailer,07-11-2022 12:20
101,Bombilla LED globo E27 7W 806lm 2.700K,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A22411890-bombilla-led-globo-e27-7w-806lm-2700k/,RPI Re-added to Retailer,07-11-2022 12:20
102,Tubo LED T8 10 W G13 20W,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A22411894-tubo-led-t8-10-w-g13-20w/,RPI Re-added to Retailer,07-11-2022 12:20
103,Bombilla LED estándar E27 13 W 2.000 lm 2.700K,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A24508793-bombilla-led-estandar-e27-13-w-2000-lm-2700k/,RPI Re-added to Retailer,07-11-2022 12:20
104,Bombilla LED estándar E27 13W 2.000lm 4.000K,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A24508794-bombilla-led-estandar-e27-13w-2000lm-4000k/,RPI Re-added to Retailer,07-11-2022 12:20
105,"Bombilla LED Estándar E27 10,5W 1.521lm 2.700K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A25549962-bombilla-led-estandar-e27-105w-1521lm-2700k/,RPI Re-added to Retailer,07-11-2022 12:20
106,Estaca de exterior Puled,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A25751756-estaca-de-exterior-puled/,RPI Re-added to Retailer,07-11-2022 12:20
107,"Bombilla LED reflector regulable E27 4,5W 345lm 2.700K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A22411876-bombilla-led-reflector-regulable-e27-45w-345lm-2700k/,RPI Re-added to Retailer,07-11-2022 12:20
108,Plafón LED redondo 10 W ZARPY 40K,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A40563512-plafon-led-redondo-10-w-zarpy-40k/,RPI Re-added to Retailer,07-11-2022 12:20
109,Tubo LED T8 10 W G13 10W,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A22411865-tubo-led-t8-10-w-g13-10w/,RPI Re-added to Retailer,07-11-2022 12:20
110,Downlight LED superficie redondo 18 W 1700 lm BCO,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A40563230-downlight-led-superficie-redondo-18-w-1700-lm-bco/,RPI Re-added to Retailer,07-11-2022 12:20
